Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1h-LAST-YEAR,,,,,,,,,,,,,,,,,,,
-1h-NONE-NOTHING,,,,,,,,,,,,,,,,,,,
-1h-SCREAM,,,,,,,,,,,,,,,,,,,
-1h-STAY,,,,,,,,,,,,,,,,,,,
-2h-#BACK-2,,,,,,,,,,,,,,,,,,,
-2h-DRIBBLE++SHOOT-BASKET,,,,,,,,,,,,,,,,,,,
-2h-THANK-YOU+SUGGEST,,,,,,,,,,,,,,,,,,,
-2h-THUMBS-UP-GOOD,,,,,,,,,,,,,,,,,,,
-2h-alt.ANGRY,,,,,,,,,,,,,,,,,,,
-2h-alt.USE-SIGN-LANGUAGE,,,,,,,,,,,,,,,,,,,
-5-CRASH,,,,,,,,,,,,,,,,,,,
-5-FOOT,,,,,,,,,,,,,,,,,,,
-5-WEATHER,,,,,,,,,,,,,,,,,,,
-A-ns-AFRICA,,,,,,,,,,,,,,,,,,,
-A-ns-ASIA,,,,,,,,,,,,,,,,,,,
-B-BLINDS,,,,,,,,,,,,,,,,,,,
-B-HOSPITAL-2,,,,,,,,,,,,,,,,,,,
-B-L-NAPKIN,,,,,,,,,,,,,,,,,,,
-C-VOMIT,,,,,,,,,,,,,,,,,,,
-E-E-MAIL,,,,,,,,,,,,,,,,,,,
-G-THANKSGIVING,,,,,,,,,,,,,,,,,,,
-Horns-SHOOT-ARROW,,,,,,,,,,,,,,,,,,,
-I-IRON-METAL,,,,,,,,,,,,,,,,,,,
-K-KITCHEN,,,,,,,,,,,,,,,,,,,
-L-LEATHER,,,,,,,,,,,,,,,,,,,
-L-LIVE+BOX-ROOM,,,,,,,,,,,,,,,,,,,
-L-RIFLE,,,,,,,,,,,,,,,,,,,
-L-X-INTERESTING,,,,,,,,,,,,,,,,,,,
-L-X-THICK,,,,,,,,,,,,,,,,,,,
-M-MODEL,,,,,,,,,,,,,,,,,,,
-M-ns-MEXICO,,,,,,,,,,,,,,,,,,,
-P-PARANOID,,,,,,,,,,,,,,,,,,,
-P-PARTICIPATE,,,,,,,,,,,,,,,,,,,
-P-PENIS,,,,,,,,,,,,,,,,,,,
-P-PROFESSION,,,,,,,,,,,,,,,,,,,
-R-BEST-FRIEND,,,,,,,,,,,,,,,,,,,
-S-BOMB,,,,,,,,,,,,,,,,,,,
-S-BROOM,,,,,,,,,,,,,,,,,,,
-S-KETCHUP,,,,,,,,,,,,,,,,,,,
-S-MOSQUITO,,,,,,,,,,,,,,,,,,,
-S-OLD+#FF,,,,,,,,,,,,,,,,,,,
-S-OLD++AVERAGE,,,,,,,,,,,,,,,,,,,
-S-OLD+FIVE-2,,,,,,,,,,,,,,,,,,,
-S-OLD+FOUR-2,,,,,,,,,,,,,,,,,,,
-S-OLD+ONE-2,,,,,,,,,,,,,,,,,,,
-S-OLD+TESTAMENT,,,,,,,,,,,,,,,,,,,
-S-OLD+THREE-2,,,,,,,,,,,,,,,,,,,
-S-OLD+TWO-2,,,,,,,,,,,,,,,,,,,
-S-PURSE,,,,,,,,,,,,,,,,,,,
-U-BOWTIE,,,,,,,,,,,,,,,,,,,
-U-SECRETARY,,,,,,,,,,,,,,,,,,,
-V-CRAWL,,,,,,,,,,,,,,,,,,,
-W-WAR,,,,,,,,,,,,,,,,,,,
-X-FOOL-DOLL,,,,,,,,,,,,,,,,,,,
-X-FOOL-DOLL+-D-DAY,,,,,,,,,,,,,,,,,,,
-Y-BATHING-SUIT,,,,,,,,,,,,,,,,,,,
-Y-BULL,,,,,,,,,,,,,,,,,,,
-cheek-BLIND,,,,,,,,,,,,,,,,,,,
-cocked-8-FOOL,,,,,,,,,,,,,,,,,,,
-cocked-8-SHOOT-ARROW,,,,,,,,,,,,,,,,,,,
-elbow-CHEAT,,,,,,,,,,,,,,,,,,,
-flat-O-PAY-SPEND,,,,,,,,,,,,,,,,,,,
1p-HELP:i,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A-LEVEL-ABOVE,,,,,,,,,,,,,,,,,,,
A-LOT,,,,,,,,,,,,,,,,,,,
ABANDON,,,,,,,,,,,,,,,,,,,
ABDOMEN,,,,,,,,,,,,,,,,,,,
ABORTION,,,,,,,,,,,,,,,,,,,
ABOUT,,,,,,,,,,,,,,,,,,,
ABOVE,,,,,,,,,,,,,,,,,,,
ABSENT,,,,,,,,,,,,,,,,,,,
ABSTRACT,,,,,,,,,,,,,,,,,,,
ABUSE,,,,,,,,,,,,,,,,,,,
ACCEPT,,,,,,,,,,,,,,,,,,,
ACCIDENT,,,,,,,,,,,,,,,,,,,
ACCOMPANY,,,,,,,,,,,,,,,,,,,
ACQUIRE,,,,,,,,,,,,,,,,,,,
ACT,,,,,,,,,,,,,,,,,,,
ACT+AGENT,,,,,,,,,,,,,,,,,,,
ACTION,,,,,,,,,,,,,,,,,,,
ADAPT,,,,,,,,,,,,,,,,,,,
ADD,,,,,,,,,,,,,,,,,,,
ADDICTED,,,,,,,,,,,,,,,,,,,
ADDRESS,,,,,,,,,,,,,,,,,,,
ADMIT,,,,,,,,,,,,,,,,,,,
ADULT-TALL,,,,,,,,,,,,,,,,,,,
ADULTERY,,,,,,,,,,,,,,,,,,,
ADVENTUROUS-SNEAKY,,,,,,,,,,,,,,,,,,,
ADVERTISE,,,,,,,,,,,,,,,,,,,
ADVISE-INFLUENCE,,,,,,,,,,,,,,,,,,,
ADVISE-INFLUENCE+AGENT,,,,,,,,,,,,,,,,,,,
AFRAID,,,,,,,,,,,,,,,,,,,
AFTERNOON,,,,,,,,,,,,,,,,,,,
AGAIN,,,,,,,,,,,,,,,,,,,
AGAINST,,,,,,,,,,,,,,,,,,,
AGE-FIVE,,,,,,,,,,,,,,,,,,,
AGE-FOUR,,,,,,,,,,,,,,,,,,,
AGE-ONE,,,,,,,,,,,,,,,,,,,
AGE-TWO,,,,,,,,,,,,,,,,,,,
AGENT,,,,,,,,,,,,,,,,,,,
AGGRESSIVE,,,,,,,,,,,,,,,,,,,
AGREE,,,,,,,,,,,,,,,,,,,
AHEAD,,,,,,,,,,,,,,,,,,,
AIR,,,,,,,,,,,,,,,,,,,
AIR-PUMP,,,,,,,,,,,,,,,,,,,
AIRPLANE,,,,,,,,,,,,,,,,,,,
AIRPLANE++AGENT,,,,,,,,,,,,,,,,,,,
ALARM,,,,,,,,,,,,,,,,,,,
ALCOHOL,,,,,,,,,,,,,,,,,,,
ALGEBRA,,,,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,,,,
ALL-AFTERNOON,,,,,,,,,,,,,,,,,,,
ALL-DAY,,,,,,,,,,,,,,,,,,,
ALL-NIGHT,,,,,,,,,,,,,,,,,,,
ALL-NIGHT-AFTER-MIDNIGHT,,,,,,,,,,,,,,,,,,,
ALL-RIGHT,,,,,,,,,,,,,,,,,,,
ALLERGY,,,,,,,,,,,,,,,,,,,
ALLIGATOR,,,,,,,,,,,,,,,,,,,
ALLOW,,,,,,,,,,,,,,,,,,,
ALMOST,,,,,,,,,,,,,,,,,,,
ALONE,,,,,,,,,,,,,,,,,,,
ALSO,,,,,,,,,,,,,,,,,,,
ALWAYS,,,,,,,,,,,,,,,,,,,
ALWAYS+FOREVER-2,,,,,,,,,,,,,,,,,,,
AMAZED,,,,,,,,,,,,,,,,,,,
AMAZING,AMAZING,AWESOME, WOW, AMAZED, MAD,AWESOME, WOW, CRAZY,,,,,,,,,,,
AMBULANCE,,,,,,,,,,,,,,,,,,,
AMONG,,,,,,,,,,,,,,,,,,,
ANALYZE,,,,,,,,,,,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,
ANGEL,,,,,,,,,,,,,,,,,,,
ANGLE,,,,,,,,,,,,,,,,,,,
ANIMAL,,,,,,,,,,,,,,,,,,,
ANNOUNCE,,,,,,,,,,,,,,,,,,,
ANSWER,,,,,,,,,,,,,,,,,,,
ANSWER+AGENT,,,,,,,,,,,,,,,,,,,
ANY,,,,,,,,,,,,,,,,,,,
ANY+ONE,,,,,,,,,,,,,,,,,,,
ANY+THING,,,,,,,,,,,,,,,,,,,
ANY+WHERE,,,,,,,,,,,,,,,,,,,
ANYWAY-NOT-MATTER,,,,,,,,,,,,,,,,,,,
APPLAUSE,,,,,,,,,,,,,,,,,,,
APPLE,,,,,,,,,,,,,,,,,,,
APPLY,,,,,,,,,,,,,,,,,,,
APPOINT,,,,,,,,,,,,,,,,,,,
APPOINTMENT,APPOINTMENT,RESERVE, RESERVATION,RESERVATION, APPOINTMENT, RESERVE, BOOKED,,,,,,,,,,,,
APPROVE,,,,,,,,,,,,,,,,,,,
APPROVE-VETO,,,,,,,,,,,,,,,,,,,
ARGUE,,,,,,,,,,,,,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,
ARM+SHORT-SLEEVE,,,,,,,,,,,,,,,,,,,
AROUND,,,,,,,,,,,,,,,,,,,
ARRIVE,,,,,,,,,,,,,,,,,,,
ART-DESIGN,,,,,,,,,,,,,,,,,,,
ART-DESIGN+AGENT,,,,,,,,,,,,,,,,,,,
ARTICLE,,,,,,,,,,,,,,,,,,,
ASK,,,,,,,,,,,,,,,,,,,
ASSAULT,,,,,,,,,,,,,,,,,,,
ASSIST,,,,,,,,,,,,,,,,,,,
ASSOCIATION,,,,,,,,,,,,,,,,,,,
ASTONISHED,,,,,,,,,,,,,,,,,,,
ASTRAY,,,,,,,,,,,,,,,,,,,
ATTEMPT,,,,,,,,,,,,,,,,,,,
ATTENTION-WAVE,,,,,,,,,,,,,,,,,,,
ATTITUDE,,,,,,,,,,,,,,,,,,,
AUCTION,,,,,,,,,,,,,,,,,,,
AUDIENCE,,,,,,,,,,,,,,,,,,,
AUDIOLOGY,,,,,,,,,,,,,,,,,,,
AUDIOLOGY+AGENT,,,,,,,,,,,,,,,,,,,
AUNT,,,,,,,,,,,,,,,,,,,
AUTHORITY,,,,,,,,,,,,,,,,,,,
AUTUMN,,,,,,,,,,,,,,,,,,,
AVAILABLE,,,,,,,,,,,,,,,,,,,
AVERAGE,,,,,,,,,,,,,,,,,,,
AVOID-FALL-BEHIND,,,,,,,,,,,,,,,,,,,
AWKWARD,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
BABY,,,,,,,,,,,,,,,,,,,
BACHELOR,,,,,,,,,,,,,,,,,,,
BACK,,,,,,,,,,,,,,,,,,,
BACKGROUND,,,,,,,,,,,,,,,,,,,
BACKPACK,,,,,,,,,,,,,,,,,,,
BACKSTAB,,,,,,,,,,,,,,,,,,,
BACON,,,,,,,,,,,,,,,,,,,
BAD,,,,,,,,,,,,,,,,,,,
BAD+DREAM,,,,,,,,,,,,,,,,,,,
BADGE,,,,,,,,,,,,,,,,,,,
BAG,,,,,,,,,,,,,,,,,,,
BAKE-OVEN,,,,,,,,,,,,,,,,,,,
BAKE_1,BAKE, BAKING,OVEN, BAKERY,BAKE, BAKING,,,,,,,,,,,,,
BAKING-SPRINKLES,,,,,,,,,,,,,,,,,,,
BALANCE,,,,,,,,,,,,,,,,,,,
BALD,,,,,,,,,,,,,,,,,,,
BALD+ALL-GONE,,,,,,,,,,,,,,,,,,,
BALL,,,,,,,,,,,,,,,,,,,
BALLOON,,,,,,,,,,,,,,,,,,,
BANANA,,,,,,,,,,,,,,,,,,,
BANDAID,,,,,,,,,,,,,,,,,,,
BAPTIST,,,,,,,,,,,,,,,,,,,
BAR,,,,,,,,,,,,,,,,,,,
BARK,,,,,,,,,,,,,,,,,,,
BASEBALL,BASEBALL,,,,,,,,,,,,,,,,,,
BASEMENT,,,,,,,,,,,,,,,,,,,
BASKET,,,,,,,,,,,,,,,,,,,
BASKETBALL,,,,,,,,,,,,,,,,,,,
BAT,,,,,,,,,,,,,,,,,,,
BATH,,,,,,,,,,,,,,,,,,,
BATH+BATHROBE,,,,,,,,,,,,,,,,,,,
BATH+COAT,,,,,,,,,,,,,,,,,,,
BATH+DRESS-CLOTHES,,,,,,,,,,,,,,,,,,,
BATH+fs-TUB,,,,,,,,,,,,,,,,,,,
BATHING-SUIT,,,,,,,,,,,,,,,,,,,
BATHROBE,,,,,,,,,,,,,,,,,,,
BAWL-OUT,,,,,,,,,,,,,,,,,,,
BEACH,,,,,,,,,,,,,,,,,,,
BEANS,,,,,,,,,,,,,,,,,,,
BEAR,,,,,,,,,,,,,,,,,,,
BEARD,,,,,,,,,,,,,,,,,,,
BEAT,BEAT,DEFEAT, DEFEATED, OVERCOME,CONQUER, BEAT, BEATEN, DEFEATED,,,,,,,,,,,
BEAT-2,,,,,,,,,,,,,,,,,,,
BEAT-3,,,,,,,,,,,,,,,,,,,
BEAUTIFUL,,,,,,,,,,,,,,,,,,,
BEAUTIFUL+DRESS-CLOTHES,,,,,,,,,,,,,,,,,,,
BEAVER,,,,,,,,,,,,,,,,,,,
BECAUSE,,,,,,,,,,,,,,,,,,,
BECOME,,,,,,,,,,,,,,,,,,,
BECOME+QUIET,,,,,,,,,,,,,,,,,,,
BECOME-FAT,,,,,,,,,,,,,,,,,,,
BED,,,,,,,,,,,,,,,,,,,
BED+BOX-ROOM,,,,,,,,,,,,,,,,,,,
BED+CUSHION,,,,,,,,,,,,,,,,,,,
BEE,,,,,,,,,,,,,,,,,,,
BEER,,,,,,,,,,,,,,,,,,,
BEFORE-2,,,,,,,,,,,,,,,,,,,
BEFORE-2+SCHOOL,,,,,,,,,,,,,,,,,,,
BEG,,,,,,,,,,,,,,,,,,,
BEG+AGENT,,,,,,,,,,,,,,,,,,,
BEHAVIOR,,,,,,,,,,,,,,,,,,,
BEHIND,,,,,,,,,,,,,,,,,,,
BELIEVE,BELIEVE,BELIEVABLE, HUSBAND,BELIEF, BELIEFS, HUSBAND,,,,,,,,,,,,,
BELL,,,,,,,,,,,,,,,,,,,
BELONG,,,,,,,,,,,,,,,,,,,
BELOW,,,,,,,,,,,,,,,,,,,
BELOW-2,,,,,,,,,,,,,,,,,,,
BELT,,,,,,,,,,,,,,,,,,,
BENEFIT,BENEFIT, BENEFITS,PITTSBURGH, CREDIT,  MAINE, FRATERNITY, CREDITS, SCORE, POINT, PROFIT,PITTSBURGH, MAINE, BENEFITS, POINTS, CREDIT,,,,
BERRY,,,,,,,,,,,,,,,,,,,
BEST,,,,,,,,,,,,,,,,,,,
BEST-FRIEND,,,,,,,,,,,,,,,,,,,
BET,,,,,,,,,,,,,,,,,,,
BETTER,,,,,,,,,,,,,,,,,,,
BETWEEN-SHARE,,,,,,,,,,,,,,,,,,,
BETWEEN-SHARE+AGENT,,,,,,,,,,,,,,,,,,,
BICYCLE,,,,,,,,,,,,,,,,,,,
BIG,,,,,,,,,,,,,,,,,,,
BIG-HEADED,,,,,,,,,,,,,,,,,,,
BIKE-PUMP,,,,,,,,,,,,,,,,,,,
BILL-OWE-1p,,,,,,,,,,,,,,,,,,,
BILLIARDS,,,,,,,,,,,,,,,,,,,
BILLION,,,,,,,,,,,,,,,,,,,
BIND-TIE-UP,,,,,,,,,,,,,,,,,,,
BIOLOGY,BIOLOGY,WORRY,TROUBLE, FRUSTRATE,,,,,,,,,,,,,,,
BIRD,BIRD, BIRDS,CHICKEN,CHICKEN, BIRD,,,,,,,,,,,,,,
BIRD++PECK,,,,,,,,,,,,,,,,,,,
BIRTH,,,,,,,,,,,,,,,,,,,
BIRTHDAY,,,,,,,,,,,,,,,,,,,
BISON-BUFFALO,,,,,,,,,,,,,,,,,,,
BITE,,,,,,,,,,,,,,,,,,,
BITE-NAILS,,,,,,,,,,,,,,,,,,,
BITTER,,,,,,,,,,,,,,,,,,,
BLACK,,,,,,,,,,,,,,,,,,,
BLACK+BERRY,,,,,,,,,,,,,,,,,,,
BLACK-OUT,,,,,,,,,,,,,,,,,,,
BLAME,,,,,,,,,,,,,,,,,,,
BLANK-OUT,,,,,,,,,,,,,,,,,,,
BLANKET,BLANKET,SHEET, SHEETS, HAIR LENGTH THIS LONG..,,,,,,,,,,,,,,,
BLESS,,,,,,,,,,,,,,,,,,,
BLIND,,,,,,,,,,,,,,,,,,,
BLINDFOLD,,,,,,,,,,,,,,,,,,,
BLINDS,,,,,,,,,,,,,,,,,,,
BLINDS_2,BLINDS,CLOSE/OPEN/TURN BLINDS, SHUTTERS, SHADES,OPEN BLINDS, SHUTTERS,,,,,,,,,,,,,
BLINK-WINK,,,,,,,,,,,,,,,,,,,
BLOCK,,,,,,,,,,,,,,,,,,,
BLOND,,,,,,,,,,,,,,,,,,,
BLOOD,,,,,,,,,,,,,,,,,,,
BLOSSOM,,,,,,,,,,,,,,,,,,,
BLOUSE,,,,,,,,,,,,,,,,,,,
BLOW-NOSE,,,,,,,,,,,,,,,,,,,
BLOW-UP,,,,,,,,,,,,,,,,,,,
BLUE,,,,,,,,,,,,,,,,,,,
BLUE+BERRY,,,,,,,,,,,,,,,,,,,
BLUSH,,,,,,,,,,,,,,,,,,,
BLUSH-BRUSH,,,,,,,,,,,,,,,,,,,
BOARD,,,,,,,,,,,,,,,,,,,
BOAT,,,,,,,,,,,,,,,,,,,
BODY,,,,,,,,,,,,,,,,,,,
BOIL,,,,,,,,,,,,,,,,,,,
BOMB,,,,,,,,,,,,,,,,,,,
BONE,BONE, BONES,POISON, SKELETON,POISON, SKELETON, SKULL, TOXIC, BONES, CAUTIOUS,,,,,,,,,
BOOK,,,,,,,,,,,,,,,,,,,
BOOK-PAGE,,,,,,,,,,,,,,,,,,,
BOOT,,,,,,,,,,,,,,,,,,,
BOOTS,BOOTS,FLOOR, EQUAL,FLOOR, BOOTS, BREAK EVEN, PUT TOGETHER,,,,,,,,,,,,
BORE,,,,,,,,,,,,,,,,,,,
BORN,,,,,,,,,,,,,,,,,,,
BORROW,,,,,,,,,,,,,,,,,,,
BOSS,BOSS,COACH, CAPTAIN, CHAIR, CHIEF,,,,,,,,,,,,,,
BOSS+LOWERCASE-TINY,,,,,,,,,,,,,,,,,,,
BOTH,,,,,,,,,,,,,,,,,,,
BOTHER,,,,,,,,,,,,,,,,,,,
BOTTLE,,,,,,,,,,,,,,,,,,,
BOWEL-MOVEMENT,,,,,,,,,,,,,,,,,,,
BOWL,,,,,,,,,,,,,,,,,,,
BOWLING,,,,,,,,,,,,,,,,,,,
BOWLING-STRIKE,,,,,,,,,,,,,,,,,,,
BOWTIE,,,,,,,,,,,,,,,,,,,
BOX-2,,,,,,,,,,,,,,,,,,,
BOX-ROOM,,,,,,,,,,,,,,,,,,,
BOXING,,,,,,,,,,,,,,,,,,,
BOY,,,,,,,,,,,,,,,,,,,
BOY+BABY,,,,,,,,,,,,,,,,,,,
BOY+DCLround flat,,,,,,,,,,,,,,,,,,,
BOY+FRIEND,,,,,,,,,,,,,,,,,,,
BOY-2+CORRECT,,,,,,,,,,,,,,,,,,,
BOY-2+CORRECT+LAW,,,,,,,,,,,,,,,,,,,
BOY-3+MARRY,,,,,,,,,,,,,,,,,,,
BPCL:Btapping foot,,,,,,,,,,,,,,,,,,,
BRA,BRA,BIKINI, BATHING SUIT, SWIMMING SUIT TOP,BIKINI TOP,,,,,,,,,,,,,,
BRA+UNDERPANTS,,,,,,,,,,,,,,,,,,,
BRACELET,BRACELET,WATCH, WATCHES, WRISTWATCH, BRACE,BRACELET,,,,,,,,,,,,,
BRAG,,,,,,,,,,,,,,,,,,,
BRAKE,,,,,,,,,,,,,,,,,,,
BRAVE,BRAVE,HEALTH, RECOVER, DRIVING, COURAGEOUS, COURAGE, STRONG,COURAGE, HEALTHY, HEALTH, HEAL, STRONG, STRENGTH, BRAVE,,,,,
BRAVE-RECOVER,,,,,,,,,,,,,,,,,,,
BRAWL,,,,,,,,,,,,,,,,,,,
BREAD,,,,,,,,,,,,,,,,,,,
BREAD+DCLrounded rectangle,,,,,,,,,,,,,,,,,,,
BREAK,,,,,,,,,,,,,,,,,,,
BREAK-DOWN,,,,,,,,,,,,,,,,,,,
BREAK-DOWN-BUILDING,,,,,,,,,,,,,,,,,,,
BREASTS,,,,,,,,,,,,,,,,,,,
BREATHE,,,,,,,,,,,,,,,,,,,
BRIDESMAID,BRIDESMAID,BRIDE,,,,,,,,,,,,,,,,,
BRIDGE,,,,,,,,,,,,,,,,,,,
BRING-1p,,,,,,,,,,,,,,,,,,,
BROKE,,,,,,,,,,,,,,,,,,,
BROOM,,,,,,,,,,,,,,,,,,,
BROTHER,,,,,,,,,,,,,,,,,,,
BROWN,,,,,,,,,,,,,,,,,,,
BRUSH-TEETH,,,,,,,,,,,,,,,,,,,
BUCKET,,,,,,,,,,,,,,,,,,,
BUG,BUG,INSECT, INSECTS,ORGASM, INSECT, BUG, ANT,,,,,,,,,,,,
BUILD,,,,,,,,,,,,,,,,,,,
BUILDING,,,,,,,,,,,,,,,,,,,
BULL,,,,,,,,,,,,,,,,,,,
BURY,,,,,,,,,,,,,,,,,,,
BUSINESS,,,,,,,,,,,,,,,,,,,
BUSY,,,,,,,,,,,,,,,,,,,
BUT,,,,,,,,,,,,,,,,,,,
BUTTER,,,,,,,,,,,,,,,,,,,
BUTTERFLY,,,,,,,,,,,,,,,,,,,
BUTTON,,,,,,,,,,,,,,,,,,,
BUY,,,,,,,,,,,,,,,,,,,
BUY++AGENT,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,
CABBAGE,,,,,,,,,,,,,,,,,,,
CABINET,CABINET, CABINETS,TAKE APART, PULL APART, TAKE AWAY, LOOKING THROUGH HANGING CLOTHES, READ INTENSELY, CUPBOARD,CABINETS,,,,,,,,,,
CAESAREAN-SECTION,,,,,,,,,,,,,,,,,,,
CAFETERIA,,,,,,,,,,,,,,,,,,,
CAKE,,,,,,,,,,,,,,,,,,,
CALCULATOR,,,,,,,,,,,,,,,,,,,
CALCULUS,,,,,,,,,,,,,,,,,,,
CALENDAR,,,,,,,,,,,,,,,,,,,
CALL-BY-PHONE,,,,,,,,,,,,,,,,,,,
CALL-ON-RELAY-VRS,,,,,,,,,,,,,,,,,,,
CALM-DOWN,,,,,,,,,,,,,,,,,,,
CAMERA,,,,,,,,,,,,,,,,,,,
CAMERA-FLASH,,,,,,,,,,,,,,,,,,,
CAMP,,,,,,,,,,,,,,,,,,,
CAN,,,,,,,,,,,,,,,,,,,
CANCEL-CRITICIZE,,,,,,,,,,,,,,,,,,,
CANDLE,,,,,,,,,,,,,,,,,,,
CANDY,,,,,,,,,,,,,,,,,,,
CANDY_1,CANDY,SOUR,,,,,,,,,,,,,,,,,
CANDY_2,CANDY,CUTE, HONEY, SUGAR, PUNY,CUTE, SUGAR, CANDY, HONEY,,,,,,,,,,
CANE,,,,,,,,,,,,,,,,,,,
CANNOT,,,,,,,,,,,,,,,,,,,
CANOE,CANOE, CANOEING,KAYAK, KAYAKING, PADDLING, RAFTING, ROW, ROWING, OAR,CANOE, PADDLE BOAT,,,,,,,,
CAPITAL-LETTER,,,,,,,,,,,,,,,,,,,
CAPTIONS,,,,,,,,,,,,,,,,,,,
CAR,,,,,,,,,,,,,,,,,,,
CAR+DCL:1speedometer,,,,,,,,,,,,,,,,,,,
CAR+DCLlong flat surface,,,,,,,,,,,,,,,,,,,
CAR+ENGINE,,,,,,,,,,,,,,,,,,,
CAR+TRUNK,,,,,,,,,,,,,,,,,,,
CAR-HORN,,,,,,,,,,,,,,,,,,,
CARDIGAN,,,,,,,,,,,,,,,,,,,
CARE,,,,,,,,,,,,,,,,,,,
CARE++AGENT,,,,,,,,,,,,,,,,,,,
CARELESS,,,,,,,,,,,,,,,,,,,
CARPENTER,,,,,,,,,,,,,,,,,,,
CARROT,,,,,,,,,,,,,,,,,,,
CARROT-2,,,,,,,,,,,,,,,,,,,
CARRY,,,,,,,,,,,,,,,,,,,
CARRY-SUITCASE,,,,,,,,,,,,,,,,,,,
CASHIER,,,,,,,,,,,,,,,,,,,
CASHIER+AGENT,,,,,,,,,,,,,,,,,,,
CASTLE,CASTLE,,,,,,,,,,,,,,,,,,
CAT,,,,,,,,,,,,,,,,,,,
CAT+fs-UP,,,,,,,,,,,,,,,,,,,
CATCH,,,,,,,,,,,,,,,,,,,
CATCH-BALL,,,,,,,,,,,,,,,,,,,
CATERPILLAR,,,,,,,,,,,,,,,,,,,
CATHOLIC,,,,,,,,,,,,,,,,,,,
CAUSE,,,,,,,,,,,,,,,,,,,
CEILING,,,,,,,,,,,,,,,,,,,
CELEBRATE,,,,,,,,,,,,,,,,,,,
CELEBRATE+-2h-IX-honorific:upward,,,,,,,,,,,,,,,,,,,
CENT+EIGHT,,,,,,,,,,,,,,,,,,,
CENT+FIVE,,,,,,,,,,,,,,,,,,,
CENT+ONE,,,,,,,,,,,,,,,,,,,
CENT+TEN,,,,,,,,,,,,,,,,,,,
CENT+TWENTY-FIVE,,,,,,,,,,,,,,,,,,,
CENTER,,,,,,,,,,,,,,,,,,,
CENTER+ns-AMERICA,,,,,,,,,,,,,,,,,,,
CEREAL,,,,,,,,,,,,,,,,,,,
CERTIFY,,,,,,,,,,,,,,,,,,,
CHAIN-OLYMPICS,,,,,,,,,,,,,,,,,,,
CHALK,,,,,,,,,,,,,,,,,,,
CHALLENGE,,,,,,,,,,,,,,,,,,,
CHAMP,,,,,,,,,,,,,,,,,,,
CHANCE,,,,,,,,,,,,,,,,,,,
