Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DUCK,DUCK,FRESHMAN,,,,,,,,,,,,,,,,,
EAGLE,EAGLE,HAWK,,,,,,,,,,,,,,,,,
EARTH,EARTH,PLANET,PLANET, GEOGRAPHY, EARTH,,,,,,,,,,,,,,
EAT,EAT,FOOD,,,,,,,,,,,,,,,,,
EGG,EGG, EGGS,,,,,,,,,,,,,,,,,
EGO,EGO, ALL ABOUT ME,BIGOT, SHOW-OFF, SELF-CENTERED, SELF-INVOLVED, SELFISH, GREEDY,ARROGANT, SELFISH, PIG, ALL MINE, BULLY, ME FIRST, SELF-CENTERED,,,,
EMOTION,EMOTION, EMOTIONS,EMOTIONAL,EMOTIONAL, EMOTION,,,,,,,,,,,,,,
ENOUGH,ENOUGH,PLENTY, HAD ENOUGH, SUFFICIENT,,,,,,,,,,,,,,,
EQUAL,EQUAL,FAIR, EVEN,FAIR, EQUAL, EQUALITY, JUSTICE, SAME, EVEN,,,,,,,,,,
EVALUATE,EVALUATE,EVALUATION, EXPERIMENT, EXPERIENCE,,,,,,,,,,,,,,,
EXPERIENCE,EXPERIENCE,PEACH,PEACH, MORMON,,,,,,,,,,,,,,,
EYES,EYES,,,,,,,,,,,,,,,,,,
FIRST,FIRST,ONE DOLLAR, ONE,ONE DOLLAR, ONLY, FIRST, SINGLE,,,,,,,,,,,,
FLOWER,FLOWER, FLOWERS,,,,,,,,,,,,,,,,,
FOREVER,FOREVER,ETERNITY,ETERNINTY, FOREVER, LENGTHY,,,,,,,,,,,,,,
GAME,GAME, GAMES,,,,,,,,,,,,,,,,,
GOVERNMENT,GOVERNMENT,CAPITOL, STATE,GOVERNMENT,,,,,,,,,,,,,,,
HAMMER,HAMMER,JUDGE, COURT,HAMMER, JUDGE,,,,,,,,,,,,,,
HUMBLE,HUMBLE,HUMILITY, MODEST,,,,,,,,,,,,,,,,
HUSBAND,HUSBAND,HUBBY,,,,,,,,,,,,,,,,,
IGNORE,IGNORE,NEGLECT,NEGLECT, DISMISS, DON'T CARE,,,,,,,,,,,,,,
IMAGINE,IMAGINE,IMAGINATION, IMAGINARY, IDEAS, SPEW IDEAS,IMAGINATION, IMAGINE, PARANOID, HALLUCINATION,,,,,,,,,,
JUDGE,JUDGE,COURT,COURT, JUDGE, JUDGMENT, JUDGMENTAL,,,,,,,,,,,,,
KNEEL,KNEEL, KNEELING,KNEES, PROTEST,,,,,,,,,,,,,,,
LOBSTER,LOBSTER,CRAB,CRAB,,,,,,,,,,,,,,,,
MEDICINE,MEDICINE, MEDICATION,MEDICAL,POISON, MEDICAL, DRUG, DRUGS, RX, MEDICINAL,,,,,,,,,,
METAL,METAL,STEEL, GARBAGE, TRASH,STEEL, GREY, IRON,,,,,,,,,,,,
MOVIE,MOVIE, MOVIES,FILM, CHEESE,,,,,,,,,,,,,,,
MUSEUM,MUSEUM,MCDONALDS, MONTANA,,,,,,,,,,,,,,,,
NAPKIN,NAPKIN, NAPKINS,CUED SPEECH,CUED SPEECH,,,,,,,,,,,,,,,
NEPHEW,NEPHEW,NIECE, BOY WITH SIGN NAME M,NEPHEW, NEUROLOGY,,,,,,,,,,,,,,
NEUTRAL,NEUTRAL,NOUN,,,,,,,,,,,,,,,,,
ONION,ONION, ONIONS,,,,,,,,,,,,,,,,,
PANTS,PANTS, PANT,SLACK,SLACKS, TROUSER,,,,,,,,,,,,,,
PERFECT,PERFECT,EXACT, EXACTLY, PRECISELY, PERFECTION,PRECISE, EXACTLY, EXACT,,,,,,,,,,,
PIPE,PIPE,SMOKE PIPE, IPHONE, DRINK ALCOHOL,POPEYE,,,,,,,,,,,,,,
POTATO,POTATO, POTATOES,CHIPS, POTATO CHIP,CHIPS, POTATO,,,,,,,,,,,,,
POWER,POWER,POWERFUL,POWERFUL,,,,,,,,,,,,,,,,
REALLY,REALLY?,SURE?, TRUE?,SURE, REALLY? , ARE YOU KIDDING ME?,,,,,,,,,,,,,
RESPONSIBILITY,RESPONSIBILITY,RESPONSIBLE, LIABILITY,OBLIGATION, DUTY, RESPONSIBILITY, ACCOUNTABLE,,,,,,,,,,,,
REVENGE,REVENGE,AVENGE, PRANK, RETALIATE,,,,,,,,,,,,,,,
RUDE,RUDE,BLANK,,,,,,,,,,,,,,,,,
RUN,RUN, RUNNING,JOG,,,,,,,,,,,,,,,,
SAW,SAW,PUMP, STAB,PUMP, HACKSAW, SAWING, POKE WITH STICK,,,,,,,,,,,,
SCREWDRIVER,SCREWDRIVER,SCREW,,,,,,,,,,,,,,,,,
SHAVE,SHAVE,ELECTRIC SHAVER OR SHAVING MACHINE, CL: SHAVE WITH AN ELECTRIC RAZOR, CL:SHAVE BEARD WITH A SHAVING MACHINE, CL: A PERSON SHAVING THEIR FACE, SHAVE FREQUENTLY,,,,,,,,,,,,,
SILVER,SILVER,SOUND,,,,,,,,,,,,,,,,,
SOCKS,SOCKS, SOCK,,,,,,,,,,,,,,,,,
SOUP,SOUP,SPOON,SOUP, CEREAL,,,,,,,,,,,,,,,
SOUTH,SOUTH,NONE,,,,,,,,,,,,,,,,,
SPAGHETTI,SPAGHETTI,PASTA,PASTA, SPAGHETTI, NOODLES,,,,,,,,,,,,,,
SPEAKERS,(LIGHT) FLASHING, LIGHTS BLINKING, BOOM BOX, MUSIC BOOMING / BLASTING, LOUD NOISE, GOOD SOUND, FLICKERING LIGHTS, FLASH,MUSIC BOOMING, FLASHING LIGHTS FROM BEHIND,,,,,,,,,
SQUIRREL,SQUIRREL,CHIPMUNK,,,,,,,,,,,,,,,,,
STAMP,STAMP, STAMPS,FUN/HAVE FUN!, POSTAGE,,,,,,,,,,,,,,,
START,START,BEGIN,START, BEGIN,,,,,,,,,,,,,,,
SWEATER,SWEATER,BLOUSE, T-SHIRT / SHIRT, TOP, WOMAN, SWEATSHIRT,SHIRT, SWEATSHIRT, BLOUSE, FEMALE,,,,,,,,,
SWING,SWING, SWINGING,HAMMOCK, ROCK, ROCKING, STINGRAY, SWAY, CRADLING, WATER, SKATEBOARD, LEAF FALLING, SURFACE BEND LIKE PAN,HAMMOCK,,,,,,
TEASE,TEASE, TEASING,(JUST) KIDDING, JOKING, JOKE,JOKING, KIDDING, TEASING, JOKE,,,,,,,,,,
THANKSGIVING,THANKSGIVING,,,,,,,,,,,,,,,,,,
TOBACCO,TOBACCO,CHEW TOBACCO, SMIRK,SNUG, CHEW TOBACCO, TOBACCO,,,,,,,,,,,,,
TOILET,TOILET,BATHROOM,,,,,,,,,,,,,,,,,
VACATION,VACATION,HOLIDAY, OFF WORK,,,,,,,,,,,,,,,,
VACUUM,VACUUM, VACUUMING,ROAST MARSHMALLOWS,,,,,,,,,,,,,,,,
VEGETABLE,VEGETABLE, VEGETABLES,VEGETARIAN,,,,,,,,,,,,,,,,
WET,WET,SOAKED,,,,,,,,,,,,,,,,,
WHISTLE,WHISTLE,REFEREE, UMPIRE,REFEREE, UMPIRE,,,,,,,,,,,,,,
WINDOW,WINDOW,,,,,,,,,,,,,,,,,,
WITCH,WITCH,BIG NOSE, BIG NOSED, WITCH NOSE, PARROT,,,,,,,,,,,,,,
